"CD_MUN";"NM_MUN";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100015";"Alta Floresta D'Oeste";"7668";"21331";"1,72";"2565,13";"17456222,43";"1500"
"1100023";"Ariquemes";"34760";"96139";"1,85";"2668,81";"11560167,11";"1800"
"1100031";"Cabixi";"1963";"5335";"1,55";"2399,26";"12624574,02";"1500"
"1100049";"Cacoal";"31892";"86355";"1,77";"3005,21";"856379165,05";"1849.5"
"1100056";"Cerejeiras";"5871";"15792";"1,55";"2548,40";"11251071,63";"1700"
"1100064";"Colorado do Oeste";"5991";"15663";"1,52";"2637,32";"8497127,84";"1800"
"1100072";"Corumbiara";"2835";"7487";"1,56";"2337,06";"3922754,67";"2000"
"1100080";"Costa Marques";"4158";"12518";"2,42";"2236,32";"8437580,47";"1300"
"1100098";"Espigão D'Oeste";"10446";"29221";"1,74";"2296,55";"5508589,75";"1600"
"1100106";"Guajará-Mirim";"11752";"38723";"3,49";"2333,89";"103411953,14";"1212"
"1100114";"Jaru";"18947";"50354";"1,61";"2565,57";"12134780,57";"1700"
"1100122";"Ji-Paraná";"44996";"123629";"1,80";"2680,66";"10701142,14";"1800"
"1100130";"Machadinho D'Oeste";"10832";"30407";"1,92";"1960,76";"5754762,33";"1212"
"1100148";"Nova Brasilândia D'Oeste";"5798";"15674";"1,44";"1982,75";"6935437,52";"1212"
"1100155";"Ouro Preto do Oeste";"13318";"34819";"1,63";"2625,58";"88737950,64";"1800"
"1100189";"Pimenta Bueno";"12341";"34714";"1,79";"2420,16";"7524897,44";"1700"
"1100205";"Porto Velho";"151886";"457020";"2,42";"3171,37";"114979380,71";"1800"
"1100254";"Presidente Médici";"7230";"19274";"1,61";"2080,49";"4203706,35";"1300"
"1100262";"Rio Crespo";"1249";"3454";"1,81";"2264,07";"7930008,90";"1500"
"1100288";"Rolim de Moura";"20991";"56137";"1,62";"2644,49";"12800596,91";"1800"
"1100296";"Santa Luzia D'Oeste";"2758";"7391";"1,46";"2176,88";"7668492,78";"1500"
"1100304";"Vilhena";"34951";"95230";"1,85";"3092,12";"180552792,84";"2000"
"1100320";"São Miguel do Guaporé";"7872";"21486";"1,51";"2319,43";"7707196,55";"1500"
"1100338";"Nova Mamoré";"8421";"25238";"2,16";"2277,76";"8319418,12";"1500"
"1100346";"Alvorada D'Oeste";"4812";"13100";"1,61";"2240,43";"6330541,19";"1500"
"1100379";"Alto Alegre dos Parecis";"4033";"11447";"1,60";"2156,61";"9604929,63";"1500"
"1100403";"Alto Paraíso";"5762";"16289";"1,86";"2133,54";"4352479,60";"1500"
"1100452";"Buritis";"9905";"27827";"1,67";"2252,99";"5673798,76";"1500"
"1100502";"Novo Horizonte do Oeste";"2798";"7663";"1,46";"1982,77";"4596954,18";"1250"
"1100601";"Cacaulândia";"1483";"4145";"1,72";"2380,53";"12002957,04";"1600"
"1100700";"Campo Novo de Rondônia";"3062";"8812";"1,58";"2313,55";"7850139,68";"1500"
"1100809";"Candeias do Jamari";"7428";"22276";"2,33";"1842,53";"6044448,93";"1212"
"1100908";"Castanheiras";"1198";"3229";"1,55";"2172,51";"7730749,55";"1213.5"
"1100924";"Chupinguaia";"3198";"9245";"1,83";"2544,10";"10904458,22";"2000"
"1100940";"Cujubim";"5197";"14803";"1,93";"2224,89";"6025841,07";"1590"
"1101005";"Governador Jorge Teixeira";"2881";"7941";"1,62";"2169,96";"4607040,97";"1500"
"1101104";"Itapuã do Oeste";"2909";"8541";"2,22";"2108,13";"3477744,09";"1500"
"1101203";"Ministro Andreazza";"2383";"6466";"1,53";"2297,85";"13179171,30";"1220"
"1101302";"Mirante da Serra";"3508";"9235";"1,75";"2155,23";"9235228,87";"1212"
"1101401";"Monte Negro";"4223";"11516";"1,63";"2133,54";"5484180,11";"1214"
"1101435";"Nova União";"2230";"6180";"1,58";"2040,53";"7209764,46";"1212"
"1101450";"Parecis";"1479";"4066";"1,58";"2214,03";"5704136,43";"1500"
