ANO;UF;Codmun7;Município;IDHM;IDHM_E;IDHM_L;IDHM_R
2010;11;1100015;ALTA FLORESTA D'OESTE;0,641;0,526;0,763;0,657
2010;11;1100023;ARIQUEMES;0,702;0,600;0,806;0,716
2010;11;1100031;CABIXI;0,650;0,559;0,757;0,650
2010;11;1100049;CACOAL;0,718;0,620;0,821;0,727
2010;11;1100056;CEREJEIRAS;0,692;0,602;0,799;0,688
2010;11;1100064;COLORADO DO OESTE;0,685;0,584;0,814;0,676
2010;11;1100072;CORUMBIARA;0,613;0,473;0,774;0,630
2010;11;1100080;COSTA MARQUES;0,611;0,493;0,751;0,616
2010;11;1100098;ESPIGÃO D'OESTE;0,672;0,536;0,819;0,691
2010;11;1100106;GUAJARÁ-MIRIM;0,657;0,519;0,823;0,663
2010;11;1100114;JARU;0,689;0,577;0,825;0,687
2010;11;1100122;JI-PARANÁ;0,714;0,617;0,810;0,728
2010;11;1100130;MACHADINHO D'OESTE;0,596;0,446;0,755;0,629
2010;11;1100148;NOVA BRASILÂNDIA D'OESTE;0,643;0,524;0,763;0,664
2010;11;1100155;OURO PRETO DO OESTE;0,682;0,569;0,812;0,687
2010;11;1100189;PIMENTA BUENO;0,710;0,613;0,803;0,726
2010;11;1100205;PORTO VELHO;0,736;0,638;0,819;0,764
2010;11;1100254;PRESIDENTE MÉDICI;0,664;0,550;0,792;0,671
2010;11;1100262;RIO CRESPO;0,643;0,513;0,813;0,637
2010;11;1100288;ROLIM DE MOURA;0,700;0,598;0,808;0,709
2010;11;1100296;SANTA LUZIA D'OESTE;0,670;0,564;0,812;0,657
2010;11;1100304;VILHENA;0,731;0,659;0,808;0,734
2010;11;1100320;SÃO MIGUEL DO GUAPORÉ;0,646;0,537;0,781;0,644
2010;11;1100338;NOVA MAMORÉ;0,587;0,424;0,769;0,619
2010;11;1100346;ALVORADA D'OESTE;0,643;0,534;0,763;0,654
2010;11;1100379;ALTO ALEGRE DOS PARECIS;0,592;0,443;0,777;0,603
2010;11;1100403;ALTO PARAÍSO;0,625;0,457;0,804;0,664
2010;11;1100452;BURITIS;0,616;0,479;0,751;0,650
2010;11;1100502;NOVO HORIZONTE DO OESTE;0,634;0,527;0,799;0,606
2010;11;1100601;CACAULÂNDIA;0,646;0,506;0,801;0,664
2010;11;1100700;CAMPO NOVO DE RONDÔNIA;0,593;0,404;0,772;0,667
2010;11;1100809;CANDEIAS DO JAMARI;0,649;0,512;0,819;0,652
2010;11;1100908;CASTANHEIRAS;0,658;0,547;0,803;0,650
2010;11;1100924;CHUPINGUAIA;0,652;0,514;0,820;0,659
2010;11;1100940;CUJUBIM;0,612;0,439;0,789;0,663
2010;11;1101005;GOVERNADOR JORGE TEIXEIRA;0,596;0,444;0,762;0,627
2010;11;1101104;ITAPUÃ DO OESTE;0,614;0,488;0,751;0,633
2010;11;1101203;MINISTRO ANDREAZZA;0,638;0,518;0,776;0,647
2010;11;1101302;MIRANTE DA SERRA;0,643;0,494;0,800;0,673
2010;11;1101401;MONTE NEGRO;0,607;0,454;0,762;0,645
2010;11;1101435;NOVA UNIÃO;0,587;0,442;0,753;0,608
2010;11;1101450;PARECIS;0,617;0,485;0,800;0,604
2010;11;1101468;PIMENTEIRAS DO OESTE;0,665;0,545;0,816;0,662
2010;11;1101476;PRIMAVERA DE RONDÔNIA;0,641;0,512;0,799;0,645
2010;11;1101484;SÃO FELIPE D'OESTE;0,649;0,571;0,780;0,615
2010;11;1101492;SÃO FRANCISCO DO GUAPORÉ;0,611;0,462;0,751;0,657
2010;11;1101500;SERINGUEIRAS;0,598;0,427;0,779;0,644
2010;11;1101559;TEIXEIRÓPOLIS;0,643;0,498;0,818;0,653
2010;11;1101609;THEOBROMA;0,589;0,434;0,757;0,622
2010;11;1101708;URUPÁ;0,609;0,471;0,772;0,621
2010;11;1101757;VALE DO ANARI;0,584;0,421;0,756;0,626
2010;11;1101807;VALE DO PARAÍSO;0,627;0,485;0,792;0,641
2010;12;1200013;ACRELÂNDIA;0,604;0,466;0,808;0,584
2010;12;1200054;ASSIS BRASIL;0,588;0,456;0,770;0,578
2010;12;1200104;BRASILÉIA;0,614;0,485;0,770;0,619
2010;12;1200138;BUJARI;0,589;0,439;0,772;0,603
2010;12;1200179;CAPIXABA;0,575;0,398;0,794;0,601
2010;12;1200203;CRUZEIRO DO SUL;0,664;0,582;0,776;0,648
2010;12;1200252;EPITACIOLÂNDIA;0,653;0,553;0,771;0,654
2010;12;1200302;FEIJÓ;0,539;0,388;0,723;0,559
2010;12;1200328;JORDÃO;0,469;0,283;0,731;0,499
2010;12;1200336;MÂNCIO LIMA;0,625;0,546;0,770;0,580
2010;12;1200344;MANOEL URBANO;0,551;0,373;0,767;0,586
2010;12;1200351;MARECHAL THAUMATURGO;0,501;0,361;0,726;0,479
2010;12;1200385;PLÁCIDO DE CASTRO;0,622;0,517;0,786;0,593
2010;12;1200393;PORTO WALTER;0,532;0,397;0,726;0,521
2010;12;1200401;RIO BRANCO;0,727;0,661;0,798;0,729
2010;12;1200427;RODRIGUES ALVES;0,567;0,477;0,736;0,518
2010;12;1200435;SANTA ROSA DO PURUS;0,517;0,340;0,781;0,519
2010;12;1200450;SENADOR GUIOMARD;0,640;0,513;0,786;0,649
2010;12;1200500;SENA MADUREIRA;0,603;0,456;0,810;0,593
2010;12;1200609;TARAUACÁ;0,539;0,392;0,720;0,554
2010;12;1200708;XAPURI;0,599;0,448;0,773;0,621
2010;12;1200807;PORTO ACRE;0,576;0,418;0,771;0,593
2010;13;1300029;ALVARÃES;0,527;0,377;0,778;0,499
2010;13;1300060;AMATURÁ;0,560;0,455;0,773;0,499
2010;13;1300086;ANAMÃ;0,594;0,526;0,741;0,537
2010;13;1300102;ANORI;0,561;0,433;0,757;0,540
2010;13;1300144;APUÍ;0,637;0,540;0,772;0,621
2010;13;1300201;ATALAIA DO NORTE;0,450;0,259;0,733;0,481
2010;13;1300300;AUTAZES;0,577;0,446;0,799;0,539
2010;13;1300409;BARCELOS;0,500;0,315;0,728;0,545
2010;13;1300508;BARREIRINHA;0,574;0,522;0,774;0,469
2010;13;1300607;BENJAMIN CONSTANT;0,574;0,471;0,763;0,526
2010;13;1300631;BERURI;0,506;0,346;0,731;0,512
2010;13;1300680;BOA VISTA DO RAMOS;0,565;0,484;0,750;0,496
