geocodigo_municipio,nome_municipio,uf,categoria,classe_abc
3550308,São Paulo,SP,capital de uf,A
3304557,Rio de Janeiro,RJ,capital de uf,A
2927408,Salvador,BA,capital de uf,A
5300108,Brasília,DF,capital de uf,A
2304400,Fortaleza,CE,capital de uf,A
3106200,Belo Horizonte,MG,capital de uf,A
4106902,Curitiba,PR,capital de uf,A
1302603,Manaus,AM,capital de uf,A
5208707,Goiânia,GO,capital de uf,A
4314902,Porto Alegre,RS,capital de uf,A
2611606,Recife,PE,capital de uf,A
1501402,Belém,PA,capital de uf,A
3518800,Guarulhos,SP,conurbado com uf,A
3509502,Campinas,SP,capital de intermediaria,A
2111300,São Luís,MA,capital de uf,A
3304904,São Gonçalo,RJ,demais municipios,A
2704302,Maceió,AL,capital de uf,A
5002704,Campo Grande,MS,capital de uf,A
2507507,João Pessoa,PB,capital de uf,A
3301702,Duque de Caxias,RJ,conurbado com uf,A
3303500,Nova Iguaçu,RJ,conurbado com uf,A
2211001,Teresina,PI,capital de uf,A
2408102,Natal,RN,capital de uf,A
3170206,Uberlândia,MG,capital de intermediaria,A
3543402,Ribeirão Preto,SP,capital de intermediaria,A
3548708,São Bernardo do Campo,SP,conurbado com uf,A
3547809,Santo André,SP,conurbado com uf,A
2910800,Feira de Santana,BA,capital de intermediaria,A
3552205,Sorocaba,SP,capital de intermediaria,A
2607901,Jaboatão dos Guararapes,PE,conurbado com uf,A
3534401,Osasco,SP,conurbado com uf,A
5103403,Cuiabá,MT,capital de uf,A
3549904,São José dos Campos,SP,capital de intermediaria,A
3118601,Contagem,MG,conurbado com uf,A
4205407,Florianópolis,SC,capital de uf,A
3136702,Juiz de Fora,MG,capital de intermediaria,A
2800308,Aracaju,SE,capital de uf,A
4113700,Londrina,PR,capital de intermediaria,A
3301009,Campos dos Goytacazes,RJ,capital de intermediaria,A
4209102,Joinville,SC,capital de intermediaria,A
3541000,Praia Grande,SP,demais municipios,A
3205002,Serra,ES,conurbado com uf,A
3549805,São José do Rio Preto,SP,capital de intermediaria,A
3303302,Niterói,RJ,demais municipios,A
5201405,Aparecida de Goiânia,GO,conurbado com uf,A
4305108,Caxias do Sul,RS,capital de intermediaria,A
1100205,Porto Velho,RO,capital de uf,A
3205200,Vila Velha,ES,conurbado com uf,A
3300456,Belford Roxo,RJ,conurbado com uf,A
3548500,Santos,SP,capital de imediata,A
3538709,Piracicaba,SP,capital de imediata,A
2604106,Caruaru,PE,capital de intermediaria,A
3143302,Montes Claros,MG,capital de intermediaria,A
1500800,Ananindeua,PA,conurbado com uf,A
2905701,Camaçari,BA,demais municipios,A
2504009,Campina Grande,PB,capital de intermediaria,A
3530607,Mogi das Cruzes,SP,conurbado com uf,A
4115200,Maringá,PR,capital de intermediaria,A
3106705,Betim,MG,conurbado com uf,A
3525904,Jundiaí,SP,capital de imediata,A
5201108,Anápolis,GO,capital de imediata,A
3305109,São João de Meriti,RJ,conurbado com uf,A
2611101,Petrolina,PE,capital de intermediaria,A
3506003,Bauru,SP,capital de intermediaria,A
2933307,Vitória da Conquista,BA,capital de intermediaria,A
3529401,Mauá,SP,conurbado com uf,A
4314407,Pelotas,RS,capital de intermediaria,A
2303709,Caucaia,CE,conurbado com uf,A
3300704,Cabo Frio,RJ,capital de imediata,A
3513801,Diadema,SP,conurbado com uf,A
3170107,Uberaba,MG,capital de intermediaria,A
3516200,Franca,SP,capital de imediata,A
1600303,Macapá,AP,capital de uf,A
3201308,Cariacica,ES,conurbado com uf,A
3518701,Guarujá,SP,demais municipios,A
2610707,Paulista,PE,conurbado com uf,A
4119905,Ponta Grossa,PR,capital de intermediaria,A
1200401,Rio Branco,AC,capital de uf,A
4304606,Canoas,RS,conurbado com uf,A
2609600,Olinda,PE,conurbado com uf,A
4202404,Blumenau,SC,capital de intermediaria,A
4104808,Cascavel,PR,capital de intermediaria,A
3510609,Carapicuíba,SP,conurbado com uf,A
3205309,Vitória,ES,capital de uf,A
3551009,São Vicente,SP,demais municipios,A
3523107,Itaquaquecetuba,SP,conurbado com uf,A
3154606,Ribeirão das Neves,MG,conurbado com uf,A
3303906,Petrópolis,RJ,capital de intermediaria,A
1400100,Boa Vista,RR,capital de uf,A
4125506,São José dos Pinhais,PR,conurbado com uf,A
3554102,Taubaté,SP,capital de imediata,A
1721000,Palmas,TO,capital de uf,A
3127701,Governador Valadares,MG,capital de intermediaria,A
3526902,Limeira,SP,capital de imediata,A
4316907,Santa Maria,RS,capital de intermediaria,A
3302403,Macaé,RJ,capital de intermediaria,A
5108402,Várzea Grande,MT,conurbado com uf,A
2408003,Mossoró,RN,capital de intermediaria,A
1506807,Santarém,PA,capital de intermediaria,A
3552502,Suzano,SP,conurbado com uf,A
3548906,São Carlos,SP,capital de imediata,A
3505708,Barueri,SP,conurbado com uf,A
3513009,Cotia,SP,conurbado com uf,A
2105302,Imperatriz,MA,capital de intermediaria,A
2307304,Juazeiro do Norte,CE,capital de intermediaria,A
4108304,Foz do Iguaçu,PR,capital de imediata,A
4216602,São José,SC,conurbado com uf,A
4309209,Gravataí,RS,demais municipios,A
3306305,Volta Redonda,RJ,capital de intermediaria,A
2403251,Parnamirim,RN,conurbado com uf,A
1504208,Marabá,PA,capital de intermediaria,A
3302502,Magé,RJ,demais municipios,A
3503208,Araraquara,SP,capital de intermediaria,A
3301900,Itaboraí,RJ,demais municipios,A
3122306,Divinópolis,MG,capital de intermediaria,A
3552403,Sumaré,SP,demais municipios,A
1505536,Parauapebas,PA,capital de imediata,A
2918407,Juazeiro,BA,capital de intermediaria,A
5107602,Rondonópolis,MT,capital de intermediaria,A
3552809,Taboão da Serra,SP,conurbado com uf,A
4313409,Novo Hamburgo,RS,capital de imediata,A
3529005,Marília,SP,capital de intermediaria,A
5003702,Dourados,MS,capital de intermediaria,A
3501608,Americana,SP,demais municipios,A
4208203,Itajaí,SC,capital de imediata,A
3302700,Maricá,RJ,demais municipios,A
3541406,Presidente Prudente,SP,capital de intermediaria,A
2700300,Arapiraca,AL,capital de intermediaria,A
4211900,Palhoça,SC,conurbado com uf,A
4323002,Viamão,RS,conurbado com uf,A
3520509,Indaiatuba,SP,demais municipios,A
4204202,Chapecó,SC,capital de intermediaria,A
2111201,São José de Ribamar,MA,conurbado com uf,A
3515004,Embu das Artes,SP,conurbado com uf,A
4315602,Rio Grande,RS,demais municipios,A
2602902,Cabo de Santo Agostinho,PE,conurbado com uf,A
3131307,Ipatinga,MG,capital de intermediaria,A
3303401,Nova Friburgo,RJ,capital de imediata,A
3167202,Sete Lagoas,MG,capital de imediata,A
3524402,Jacareí,SP,demais municipios,A
2913606,Ilhéus,BA,capital de intermediaria,A
2307650,Maracanaú,CE,conurbado com uf,A
4318705,São Leopoldo,RS,demais municipios,A
2914802,Itabuna,BA,demais municipios,A
3519071,Hortolândia,SP,demais municipios,A
5218805,Rio Verde,GO,capital de intermediaria,A
2919207,Lauro de Freitas,BA,conurbado com uf,A
3502804,Araçatuba,SP,capital de intermediaria,A
4314100,Passo Fundo,RS,capital de intermediaria,A
3300100,Angra dos Reis,RJ,capital de imediata,A
5212501,Luziânia,GO,capital de intermediaria,A
3157807,Santa Luzia,MG,conurbado com uf,A
4105805,Colombo,PR,conurbado com uf,A
2925303,Porto Seguro,BA,demais municipios,A
3522109,Itanhaém,SP,demais municipios,A
3522505,Itapevi,SP,conurbado com uf,A
4204608,Criciúma,SC,capital de intermediaria,A
3543907,Rio Claro,SP,capital de imediata,A
3304524,Rio das Ostras,RJ,demais municipios,A
5200258,Águas Lindas de Goiás,GO,capital de imediata,A
3305802,Teresópolis,RJ,demais municipios,A
3201209,Cachoeiro de Itapemirim,ES,capital de intermediaria,A
2312908,Sobral,CE,capital de intermediaria,A
3202405,Guarapari,ES,demais municipios,A
3300209,Araruama,RJ,demais municipios,A
1502400,Castanhal,PA,capital de intermediaria,A
5221858,Valparaíso de Goiás,GO,conurbado com uf,A
4202008,Balneário Camboriú,SC,demais municipios,A
3510500,Caraguatatuba,SP,capital de imediata,A
5107909,Sinop,MT,capital de intermediaria,A
3148004,Patos de Minas,MG,capital de intermediaria,A
2804805,Nossa Senhora do Socorro,SE,conurbado com uf,A
3203205,Linhares,ES,capital de imediata,A
3151800,Poços de Caldas,MG,capital de imediata,A
3507605,Bragança Paulista,SP,capital de imediata,A
4109401,Guarapuava,PR,capital de intermediaria,A
4300604,Alvorada,RS,conurbado com uf,A
2918001,Jequié,BA,capital de imediata,A
3300407,Barra Mansa,RJ,demais municipios,A
3555406,Ubatuba,SP,demais municipios,A
3504107,Atibaia,SP,demais municipios,A
1702109,Araguaína,TO,capital de intermediaria,A
3545803,Santa Bárbara d'Oeste,SP,demais municipios,A
4208906,Jaraguá do Sul,SC,demais municipios,A
2903201,Barreiras,BA,capital de intermediaria,A
3523909,Itu,SP,demais municipios,A
3152501,Pouso Alegre,MG,capital de intermediaria,A
2900702,Alagoinhas,BA,capital de imediata,A
3507506,Botucatu,SP,capital de imediata,A
3548807,São Caetano do Sul,SP,conurbado com uf,A
4209300,Lages,SC,capital de intermediaria,A
