"Municípios, cluster, categoria, classe ABC e UF - BR classe A",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
1,3548500,Santos (SP),SP,capital de imediata,A,231082
1,3541000,Praia Grande (SP),SP,demais municipios,A,279872
1,3551009,São Vicente (SP),SP,demais municipios,A,165050
2,3203205,Linhares (ES),ES,capital de imediata,A,92414
2,3101607,Alfenas (MG),MG,capital de imediata,A,47478
2,3104007,Araxá (MG),MG,capital de imediata,A,57379
2,3111200,Campo Belo (MG),MG,capital de imediata,A,30833
2,3115300,Cataguases (MG),MG,capital de imediata,A,37889
2,3118304,Conselheiro Lafaiete (MG),MG,capital de imediata,A,69857
2,3126109,Formiga (MG),MG,capital de imediata,A,43157
2,3127107,Frutal (MG),MG,capital de imediata,A,34852
2,3128709,Guaxupé (MG),MG,capital de imediata,A,28407
2,3131703,Itabira (MG),MG,capital de imediata,A,60253
2,3136207,João Monlevade (MG),MG,capital de imediata,A,39947
2,3138203,Lavras (MG),MG,capital de imediata,A,56247
2,3139409,Manhuaçu (MG),MG,capital de imediata,A,51887
2,3143906,Muriaé (MG),MG,capital de imediata,A,61134
2,3147105,Pará de Minas (MG),MG,capital de imediata,A,50497
2,3147907,Passos (MG),MG,capital de imediata,A,63765
2,3148103,Patrocínio (MG),MG,capital de imediata,A,49036
2,3152105,Ponte Nova (MG),MG,capital de imediata,A,31413
2,3151800,Poços de Caldas (MG),MG,capital de imediata,A,92261
2,3167202,Sete Lagoas (MG),MG,capital de imediata,A,115177
2,3162500,São João del Rei (MG),MG,capital de imediata,A,55641
2,3163706,São Lourenço (MG),MG,capital de imediata,A,26946
2,3164704,São Sebastião do Paraíso (MG),MG,capital de imediata,A,38692
2,3169307,Três Corações (MG),MG,capital de imediata,A,39036
2,3169901,Ubá (MG),MG,capital de imediata,A,58543
2,3171303,Viçosa (MG),MG,capital de imediata,A,48034
2,4101408,Apucarana (PR),PR,capital de imediata,A,67906
2,4104303,Campo Mourão (PR),PR,capital de imediata,A,52029
2,4105508,Cianorte (PR),PR,capital de imediata,A,41645
2,4106407,Cornélio Procópio (PR),PR,capital de imediata,A,25946
2,4107207,Dois Vizinhos (PR),PR,capital de imediata,A,23789
2,4108403,Francisco Beltrão (PR),PR,capital de imediata,A,51521
2,4110706,Irati (PR),PR,capital de imediata,A,30728
2,4118204,Paranaguá (PR),PR,capital de imediata,A,70312
2,4118402,Paranavaí (PR),PR,capital de imediata,A,48466
2,4118501,Pato Branco (PR),PR,capital de imediata,A,46466
2,4124103,Santo Antônio da Platina (PR),PR,capital de imediata,A,24178
2,4127106,Telêmaco Borba (PR),PR,capital de imediata,A,35103
2,4128203,União da Vitória (PR),PR,capital de imediata,A,28386
2,3300100,Angra dos Reis (RJ),RJ,capital de imediata,A,110328
2,3300704,Cabo Frio (RJ),RJ,capital de imediata,A,185612
2,3303401,Nova Friburgo (RJ),RJ,capital de imediata,A,115377
2,3304201,Resende (RJ),RJ,capital de imediata,A,69890
2,3304300,Rio Bonito (RJ),RJ,capital de imediata,A,32239
2,4304705,Carazinho (RS),RS,capital de imediata,A,31259
2,4306106,Cruz Alta (RS),RS,capital de imediata,A,31507
2,4307005,Erechim (RS),RS,capital de imediata,A,58555
2,4311809,Marau (RS),RS,capital de imediata,A,24550
2,4312401,Montenegro (RS),RS,capital de imediata,A,33921
2,4313409,Novo Hamburgo (RS),RS,capital de imediata,A,125611
2,4317202,Santa Rosa (RS),RS,capital de imediata,A,40234
2,4317400,Santiago (RS),RS,capital de imediata,A,27986
2,4317509,Santo Ângelo (RS),RS,capital de imediata,A,41635
2,4318903,São Luiz Gonzaga (RS),RS,capital de imediata,A,19972
2,4321204,Taquara (RS),RS,capital de imediata,A,32330
2,4321501,Torres (RS),RS,capital de imediata,A,37151
2,4321600,Tramandaí (RS),RS,capital de imediata,A,54857
2,4322509,Vacaria (RS),RS,capital de imediata,A,32764
2,4201406,Araranguá (SC),SC,capital de imediata,A,39805
2,4202909,Brusque (SC),SC,capital de imediata,A,65812
2,4204301,Concórdia (SC),SC,capital de imediata,A,42025
2,4204806,Curitibanos (SC),SC,capital de imediata,A,20568
2,4208203,Itajaí (SC),SC,capital de imediata,A,123670
2,4214805,Rio do Sul (SC),SC,capital de imediata,A,36358
2,4217204,São Miguel do Oeste (SC),SC,capital de imediata,A,23017
2,4218707,Tubarão (SC),SC,capital de imediata,A,58036
2,4219309,Videira (SC),SC,capital de imediata,A,28873
2,4219507,Xanxerê (SC),SC,capital de imediata,A,25735
2,3501905,Amparo (SP),SP,capital de imediata,A,35509
2,3503307,Araras (SP),SP,capital de imediata,A,70274
2,3504008,Assis (SP),SP,capital de imediata,A,54237
2,3504503,Avaré (SP),SP,capital de imediata,A,49063
2,3505500,Barretos (SP),SP,capital de imediata,A,66676
2,3506508,Birigui (SP),SP,capital de imediata,A,66670
2,3507506,Botucatu (SP),SP,capital de imediata,A,82737
2,3510500,Caraguatatuba (SP),SP,capital de imediata,A,95855
2,3511102,Catanduva (SP),SP,capital de imediata,A,63352
2,3516200,Franca (SP),SP,capital de imediata,A,182010
2,3518404,Guaratinguetá (SP),SP,capital de imediata,A,59847
2,3522307,Itapetininga (SP),SP,capital de imediata,A,80195
2,3522406,Itapeva (SP),SP,capital de imediata,A,46120
2,3524105,Ituverava (SP),SP,capital de imediata,A,20075
2,3525300,Jaú (SP),SP,capital de imediata,A,70420
2,3526902,Limeira (SP),SP,capital de imediata,A,150450
2,3527108,Lins (SP),SP,capital de imediata,A,40055
2,3530706,Mogi Guaçu (SP),SP,capital de imediata,A,77431
2,3534708,Ourinhos (SP),SP,capital de imediata,A,52925
2,3538709,Piracicaba (SP),SP,capital de imediata,A,224750
2,3542602,Registro (SP),SP,capital de imediata,A,30896
2,3543907,Rio Claro (SP),SP,capital de imediata,A,104236
2,3548906,São Carlos (SP),SP,capital de imediata,A,143200
2,3549409,São Joaquim da Barra (SP),SP,capital de imediata,A,24417
2,3549706,São José do Rio Pardo (SP),SP,capital de imediata,A,27742
2,3549102,São João da Boa Vista (SP),SP,capital de imediata,A,51552
2,3554003,Tatuí (SP),SP,capital de imediata,A,63312
2,3554102,Taubaté (SP),SP,capital de imediata,A,154952
2,3555000,Tupã (SP),SP,capital de imediata,A,34554
2,2910800,Feira de Santana (BA),BA,capital de intermediaria,A,359076
2,2307304,Juazeiro do Norte (CE),CE,capital de intermediaria,A,138103
2,3201209,Cachoeiro de Itapemirim (ES),ES,capital de intermediaria,A,102689
2,3201506,Colatina (ES),ES,capital de intermediaria,A,67314
2,3105608,Barbacena (MG),MG,capital de intermediaria,A,68052
2,3122306,Divinópolis (MG),MG,capital de intermediaria,A,130071
2,3127701,Governador Valadares (MG),MG,capital de intermediaria,A,150898
2,3131307,Ipatinga (MG),MG,capital de intermediaria,A,116651
2,3143302,Montes Claros (MG),MG,capital de intermediaria,A,220712
2,3148004,Patos de Minas (MG),MG,capital de intermediaria,A,95161
2,3152501,Pouso Alegre (MG),MG,capital de intermediaria,A,86039
2,3170107,Uberaba (MG),MG,capital de intermediaria,A,183595
2,3170701,Varginha (MG),MG,capital de intermediaria,A,73860
2,4104808,Cascavel (PR),PR,capital de intermediaria,A,173915
2,4109401,Guarapuava (PR),PR,capital de intermediaria,A,90559
2,4113700,Londrina (PR),PR,capital de intermediaria,A,283015
2,4115200,Maringá (PR),PR,capital de intermediaria,A,209669
2,4119905,Ponta Grossa (PR),PR,capital de intermediaria,A,178567
2,3301009,Campos dos Goytacazes (RJ),RJ,capital de intermediaria,A,281500
2,3302403,Macaé (RJ),RJ,capital de intermediaria,A,149212
2,3303906,Petrópolis (RJ),RJ,capital de intermediaria,A,159371
2,3306305,Volta Redonda (RJ),RJ,capital de intermediaria,A,133905
