"Municípios, cluster, categoria, classe ABC e UF - BR todos",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
1,5201108,Anápolis (GO),GO,capital de imediata,A,207750
1,5205109,Catalão (GO),GO,capital de imediata,A,63469
1,3101607,Alfenas (MG),MG,capital de imediata,A,47478
1,3104007,Araxá (MG),MG,capital de imediata,A,57379
1,3111200,Campo Belo (MG),MG,capital de imediata,A,30833
1,3115300,Cataguases (MG),MG,capital de imediata,A,37889
1,3115508,Caxambu (MG),MG,capital de imediata,B,13030
1,3118304,Conselheiro Lafaiete (MG),MG,capital de imediata,A,69857
1,3120904,Curvelo (MG),MG,capital de imediata,A,46262
1,3121605,Diamantina (MG),MG,capital de imediata,A,31501
1,3126109,Formiga (MG),MG,capital de imediata,A,43157
1,3127107,Frutal (MG),MG,capital de imediata,A,34852
1,3128006,Guanhães (MG),MG,capital de imediata,A,19978
1,3128709,Guaxupé (MG),MG,capital de imediata,A,28407
1,3131703,Itabira (MG),MG,capital de imediata,A,60253
1,3136207,João Monlevade (MG),MG,capital de imediata,A,39947
1,3138203,Lavras (MG),MG,capital de imediata,A,56247
1,3139409,Manhuaçu (MG),MG,capital de imediata,A,51887
1,3143906,Muriaé (MG),MG,capital de imediata,A,61134
1,3145604,Oliveira (MG),MG,capital de imediata,A,23425
1,3147105,Pará de Minas (MG),MG,capital de imediata,A,50497
1,3147907,Passos (MG),MG,capital de imediata,A,63765
1,3148103,Patrocínio (MG),MG,capital de imediata,A,49036
1,3151503,Piumhi (MG),MG,capital de imediata,A,21909
1,3152105,Ponte Nova (MG),MG,capital de imediata,A,31413
1,3151800,Poços de Caldas (MG),MG,capital de imediata,A,92261
1,3157203,Santa Bárbara (MG),MG,capital de imediata,B,16101
1,3167202,Sete Lagoas (MG),MG,capital de imediata,A,115177
1,3162906,São João Nepomuceno (MG),MG,capital de imediata,B,17084
1,3162500,São João del Rei (MG),MG,capital de imediata,A,55641
1,3163706,São Lourenço (MG),MG,capital de imediata,A,26946
1,3164704,São Sebastião do Paraíso (MG),MG,capital de imediata,A,38692
1,3169307,Três Corações (MG),MG,capital de imediata,A,39036
1,3169406,Três Pontas (MG),MG,capital de imediata,A,29968
1,3169901,Ubá (MG),MG,capital de imediata,A,58543
1,3171303,Viçosa (MG),MG,capital de imediata,A,48034
1,5103502,Diamantino (MT),MT,capital de imediata,B,12532
1,5107040,Primavera do Leste (MT),MT,capital de imediata,A,40076
1,5107925,Sorriso (MT),MT,capital de imediata,A,50243
1,4101408,Apucarana (PR),PR,capital de imediata,A,67906
1,4104303,Campo Mourão (PR),PR,capital de imediata,A,52029
1,4105508,Cianorte (PR),PR,capital de imediata,A,41645
1,4106407,Cornélio Procópio (PR),PR,capital de imediata,A,25946
1,4107207,Dois Vizinhos (PR),PR,capital de imediata,A,23789
1,4108304,Foz do Iguaçu (PR),PR,capital de imediata,A,136826
1,4108403,Francisco Beltrão (PR),PR,capital de imediata,A,51521
1,4109708,Ibaiti (PR),PR,capital de imediata,B,17009
1,4110706,Irati (PR),PR,capital de imediata,A,30728
1,4111506,Ivaiporã (PR),PR,capital de imediata,B,18359
1,4113304,Laranjeiras do Sul (PR),PR,capital de imediata,B,17150
1,4114609,Marechal Cândido Rondon (PR),PR,capital de imediata,A,29700
1,4118402,Paranavaí (PR),PR,capital de imediata,A,48466
1,4118501,Pato Branco (PR),PR,capital de imediata,A,46466
1,4119608,Pitanga (PR),PR,capital de imediata,A,20003
1,4124103,Santo Antônio da Platina (PR),PR,capital de imediata,A,24178
1,4127106,Telêmaco Borba (PR),PR,capital de imediata,A,35103
1,4127700,Toledo (PR),PR,capital de imediata,A,77590
1,4128104,Umuarama (PR),PR,capital de imediata,A,64150
1,4128203,União da Vitória (PR),PR,capital de imediata,A,28386
1,4301602,Bagé (RS),RS,capital de imediata,A,62782
1,4303004,Cachoeira do Sul (RS),RS,capital de imediata,A,47116
1,4304705,Carazinho (RS),RS,capital de imediata,A,31259
1,4305207,Cerro Largo (RS),RS,capital de imediata,C,8216
1,4306106,Cruz Alta (RS),RS,capital de imediata,A,31507
1,4306809,Encantado (RS),RS,capital de imediata,B,12914
1,4307005,Erechim (RS),RS,capital de imediata,A,58555
1,4308508,Frederico Westphalen (RS),RS,capital de imediata,B,19387
1,4311304,Lagoa Vermelha (RS),RS,capital de imediata,B,16003
1,4311809,Marau (RS),RS,capital de imediata,A,24550
1,4312708,Nonoai (RS),RS,capital de imediata,C,7949
1,4313300,Nova Prata (RS),RS,capital de imediata,B,14446
1,4313706,Palmeira das Missões (RS),RS,capital de imediata,B,18928
1,4317103,Sant'Ana do Livramento (RS),RS,capital de imediata,A,46517
1,4317202,Santa Rosa (RS),RS,capital de imediata,A,40234
1,4317400,Santiago (RS),RS,capital de imediata,A,27986
1,4317509,Santo Ângelo (RS),RS,capital de imediata,A,41635
1,4320701,Sobradinho (RS),RS,capital de imediata,C,8349
1,4320800,Soledade (RS),RS,capital de imediata,B,17602
1,4318002,São Borja (RS),RS,capital de imediata,A,30047
1,4318309,São Gabriel (RS),RS,capital de imediata,A,32549
1,4318903,São Luiz Gonzaga (RS),RS,capital de imediata,A,19972
1,4320909,Tapejara (RS),RS,capital de imediata,B,13076
1,4321907,Três Passos (RS),RS,capital de imediata,B,14152
1,4321808,Três de Maio (RS),RS,capital de imediata,B,14646
1,4322509,Vacaria (RS),RS,capital de imediata,A,32764
1,4204301,Concórdia (SC),SC,capital de imediata,A,42025
1,4204806,Curitibanos (SC),SC,capital de imediata,A,20568
1,4208203,Itajaí (SC),SC,capital de imediata,A,123670
1,4209003,Joaçaba (SC),SC,capital de imediata,B,17454
1,4210100,Mafra (SC),SC,capital de imediata,A,29736
1,4210506,Maravilha (SC),SC,capital de imediata,B,14941
1,4214805,Rio do Sul (SC),SC,capital de imediata,A,36358
1,4216909,São Lourenço do Oeste (SC),SC,capital de imediata,B,13086
1,4217204,São Miguel do Oeste (SC),SC,capital de imediata,A,23017
1,4219309,Videira (SC),SC,capital de imediata,A,28873
1,4219507,Xanxerê (SC),SC,capital de imediata,A,25735
1,3500105,Adamantina (SP),SP,capital de imediata,B,19771
1,3501905,Amparo (SP),SP,capital de imediata,A,35509
1,3503307,Araras (SP),SP,capital de imediata,A,70274
1,3504008,Assis (SP),SP,capital de imediata,A,54237
1,3504503,Avaré (SP),SP,capital de imediata,A,49063
1,3505500,Barretos (SP),SP,capital de imediata,A,66676
1,3506508,Birigui (SP),SP,capital de imediata,A,66670
1,3507506,Botucatu (SP),SP,capital de imediata,A,82737
1,3511102,Catanduva (SP),SP,capital de imediata,A,63352
1,3515509,Fernandópolis (SP),SP,capital de imediata,A,40633
1,3516200,Franca (SP),SP,capital de imediata,A,182010
1,3522307,Itapetininga (SP),SP,capital de imediata,A,80195
1,3522406,Itapeva (SP),SP,capital de imediata,A,46120
1,3524105,Ituverava (SP),SP,capital de imediata,A,20075
1,3524808,Jales (SP),SP,capital de imediata,A,28210
1,3525300,Jaú (SP),SP,capital de imediata,A,70420
1,3525904,Jundiaí (SP),SP,capital de imediata,A,207882
1,3526902,Limeira (SP),SP,capital de imediata,A,150450
1,3527108,Lins (SP),SP,capital de imediata,A,40055
1,3530706,Mogi Guaçu (SP),SP,capital de imediata,A,77431
1,3534708,Ourinhos (SP),SP,capital de imediata,A,52925
1,3538709,Piracicaba (SP),SP,capital de imediata,A,224750
1,3538808,Piraju (SP),SP,capital de imediata,B,16863
1,3543907,Rio Claro (SP),SP,capital de imediata,A,104236
1,3546603,Santa Fé do Sul (SP),SP,capital de imediata,A,20602
1,3548500,Santos (SP),SP,capital de imediata,A,231082
1,3548906,São Carlos (SP),SP,capital de imediata,A,143200
1,3549409,São Joaquim da Barra (SP),SP,capital de imediata,A,24417
1,3549706,São José do Rio Pardo (SP),SP,capital de imediata,A,27742
1,3549102,São João da Boa Vista (SP),SP,capital de imediata,A,51552
1,3554003,Tatuí (SP),SP,capital de imediata,A,63312
1,3555000,Tupã (SP),SP,capital de imediata,A,34554
1,2914604,Irecê (BA),BA,capital de intermediaria,A,41787
1,2924009,Paulo Afonso (BA),BA,capital de intermediaria,A,61965
1,2933307,Vitória da Conquista (BA),BA,capital de intermediaria,A,199847
1,2305506,Iguatu (CE),CE,capital de intermediaria,A,54217
1,2307304,Juazeiro do Norte (CE),CE,capital de intermediaria,A,138103
1,5211503,Itumbiara (GO),GO,capital de intermediaria,A,57879
1,5218805,Rio Verde (GO),GO,capital de intermediaria,A,111421
1,2105302,Imperatriz (MA),MA,capital de intermediaria,A,139663
1,3105608,Barbacena (MG),MG,capital de intermediaria,A,68052
1,3122306,Divinópolis (MG),MG,capital de intermediaria,A,130071
1,3127701,Governador Valadares (MG),MG,capital de intermediaria,A,150898
1,3131307,Ipatinga (MG),MG,capital de intermediaria,A,116651
1,3143302,Montes Claros (MG),MG,capital de intermediaria,A,220712
1,3148004,Patos de Minas (MG),MG,capital de intermediaria,A,95161
1,3152501,Pouso Alegre (MG),MG,capital de intermediaria,A,86039
