Cluster x categoria x classe ABC x UF - BR todos sem capital de UF e conurbados,,,,
Total de municípios no universo: 5423 | Total de domicílios no universo: 75069415,,,,
,,,,
Cluster,Categoria,Classe ABC,UF,Quantidade de municípios
1,capital de intermediaria,A,BA,3
1,capital de intermediaria,A,CE,2
1,capital de intermediaria,A,GO,2
1,capital de intermediaria,A,MA,1
1,capital de intermediaria,A,MG,11
1,capital de intermediaria,A,MT,1
1,capital de intermediaria,A,PE,1
1,capital de intermediaria,A,PI,1
1,capital de intermediaria,A,PR,5
1,capital de intermediaria,A,RS,5
1,capital de intermediaria,A,SC,3
1,capital de intermediaria,A,SP,8
1,capital de imediata,A,GO,2
1,capital de imediata,A,MG,31
1,capital de imediata,A,MT,2
1,capital de imediata,A,PR,17
1,capital de imediata,A,RS,14
1,capital de imediata,A,SC,8
1,capital de imediata,A,SP,30
1,capital de imediata,B,MG,3
1,capital de imediata,B,MT,1
1,capital de imediata,B,PR,3
1,capital de imediata,B,RS,9
1,capital de imediata,B,SC,3
1,capital de imediata,B,SP,2
1,capital de imediata,C,RS,3
1,demais municipios,A,MG,25
1,demais municipios,A,MT,4
1,demais municipios,A,PA,1
1,demais municipios,A,PR,12
1,demais municipios,A,RJ,2
1,demais municipios,A,RS,5
1,demais municipios,A,SC,3
1,demais municipios,A,SP,57
1,demais municipios,B,MG,25
1,demais municipios,B,MT,1
1,demais municipios,B,PR,20
1,demais municipios,B,RS,9
1,demais municipios,B,SC,6
1,demais municipios,B,SP,50
1,demais municipios,C,MA,1
1,demais municipios,C,MG,54
1,demais municipios,C,MT,2
1,demais municipios,C,PA,1
1,demais municipios,C,PE,1
1,demais municipios,C,PR,108
1,demais municipios,C,RS,174
1,demais municipios,C,SC,116
1,demais municipios,C,SP,298
2,capital de intermediaria,A,AC,1
2,capital de intermediaria,A,AM,2
2,capital de intermediaria,A,BA,1
2,capital de intermediaria,A,GO,3
2,capital de intermediaria,A,MS,2
2,capital de intermediaria,A,MT,3
2,capital de intermediaria,A,PA,1
2,capital de intermediaria,A,PI,1
2,capital de intermediaria,A,RO,1
2,capital de intermediaria,A,TO,2
2,capital de intermediaria,B,AM,1
2,capital de intermediaria,B,PI,1
2,capital de intermediaria,B,RR,1
2,capital de imediata,A,AM,4
2,capital de imediata,A,BA,1
2,capital de imediata,A,GO,7
2,capital de imediata,A,MA,1
2,capital de imediata,A,MG,7
2,capital de imediata,A,MS,6
2,capital de imediata,A,MT,5
2,capital de imediata,A,PA,3
2,capital de imediata,A,RO,4
2,capital de imediata,A,SP,3
2,capital de imediata,A,TO,2
2,capital de imediata,B,AC,3
2,capital de imediata,B,AM,3
2,capital de imediata,B,GO,5
2,capital de imediata,B,MS,3
2,capital de imediata,B,MT,5
2,capital de imediata,B,PA,1
2,capital de imediata,B,PI,4
2,capital de imediata,B,PR,1
2,capital de imediata,B,SP,1
2,capital de imediata,B,TO,2
2,capital de imediata,C,GO,2
2,capital de imediata,C,PI,1
2,capital de imediata,C,TO,2
2,demais municipios,A,AM,5
2,demais municipios,A,BA,5
2,demais municipios,A,GO,16
2,demais municipios,A,MG,5
2,demais municipios,A,MS,2
2,demais municipios,A,PA,3
2,demais municipios,A,RO,4
2,demais municipios,A,SP,1
2,demais municipios,B,AC,1
2,demais municipios,B,AM,7
2,demais municipios,B,BA,6
2,demais municipios,B,GO,19
2,demais municipios,B,MA,2
2,demais municipios,B,MG,14
2,demais municipios,B,MS,18
2,demais municipios,B,MT,16
2,demais municipios,B,PA,10
2,demais municipios,B,PR,6
2,demais municipios,B,RO,9
2,demais municipios,B,SP,3
2,demais municipios,C,AC,14
2,demais municipios,C,AM,38
2,demais municipios,C,BA,14
2,demais municipios,C,GO,181
2,demais municipios,C,MA,2
2,demais municipios,C,MG,70
2,demais municipios,C,MS,46
2,demais municipios,C,MT,98
2,demais municipios,C,PA,18
2,demais municipios,C,PI,64
2,demais municipios,C,PR,72
2,demais municipios,C,RO,32
2,demais municipios,C,RR,4
2,demais municipios,C,RS,1
2,demais municipios,C,SP,54
2,demais municipios,C,TO,114
3,capital de intermediaria,A,BA,3
3,capital de intermediaria,A,ES,3
3,capital de intermediaria,A,PA,1
3,capital de intermediaria,A,PI,1
3,capital de intermediaria,A,RJ,4
3,capital de intermediaria,A,RN,1
3,capital de intermediaria,A,RS,1
