"Municípios, cluster, categoria, classe ABC e UF - SC todos",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
1,4208203,Itajaí (SC),SC,capital de imediata,A,123670
1,4209003,Joaçaba (SC),SC,capital de imediata,B,17454
1,4217204,São Miguel do Oeste (SC),SC,capital de imediata,A,23017
1,4218707,Tubarão (SC),SC,capital de imediata,A,58036
1,4202404,Blumenau (SC),SC,capital de intermediaria,A,175212
1,4204202,Chapecó (SC),SC,capital de intermediaria,A,118788
1,4204608,Criciúma (SC),SC,capital de intermediaria,A,104585
1,4209102,Joinville (SC),SC,capital de intermediaria,A,280866
1,4209300,Lages (SC),SC,capital de intermediaria,A,82327
1,4202008,Balneário Camboriú (SC),SC,demais municipios,A,97348
1,4208302,Itapema (SC),SC,demais municipios,A,58248
1,4208906,Jaraguá do Sul (SC),SC,demais municipios,A,87205
2,4201406,Araranguá (SC),SC,capital de imediata,A,39805
2,4202909,Brusque (SC),SC,capital de imediata,A,65812
2,4200903,Angelina (SC),SC,demais municipios,C,4759
2,4201109,Anitápolis (SC),SC,demais municipios,C,3151
2,4201208,Antônio Carlos (SC),SC,demais municipios,C,5845
2,4201307,Araquari (SC),SC,demais municipios,A,23304
2,4201505,Armazém (SC),SC,demais municipios,C,5224
2,4201950,Balneário Arroio do Silva (SC),SC,demais municipios,B,17398
2,4202057,Balneário Barra do Sul (SC),SC,demais municipios,B,12932
2,4202073,Balneário Gaivota (SC),SC,demais municipios,B,14459
2,4212809,Balneário Piçarras (SC),SC,demais municipios,A,21501
2,4220000,Balneário Rincão (SC),SC,demais municipios,B,17129
2,4202107,Barra Velha (SC),SC,demais municipios,A,33482
2,4202503,Bom Jardim da Serra (SC),SC,demais municipios,C,3887
2,4202453,Bombinhas (SC),SC,demais municipios,A,27341
2,4202701,Botuverá (SC),SC,demais municipios,C,3511
2,4202800,Braço do Norte (SC),SC,demais municipios,B,16523
2,4203204,Camboriú (SC),SC,demais municipios,A,47398
2,4203303,Campo Alegre (SC),SC,demais municipios,C,7580
2,4203709,Canelinha (SC),SC,demais municipios,C,7915
2,4203956,Capivari de Baixo (SC),SC,demais municipios,C,10999
2,4204251,Cocal do Sul (SC),SC,demais municipios,C,8471
2,4205191,Ermo (SC),SC,demais municipios,C,1357
2,4205456,Forquilhinha (SC),SC,demais municipios,B,14256
2,4205704,Garopaba (SC),SC,demais municipios,A,22075
2,4205803,Garuva (SC),SC,demais municipios,C,9939
2,4205902,Gaspar (SC),SC,demais municipios,A,34952
2,4206009,Governador Celso Ramos (SC),SC,demais municipios,B,14407
2,4206207,Gravatal (SC),SC,demais municipios,C,6810
2,4206306,Guabiruba (SC),SC,demais municipios,B,12138
2,4206504,Guaramirim (SC),SC,demais municipios,A,21393
2,4207106,Ilhota (SC),SC,demais municipios,C,8597
2,4207304,Imbituba (SC),SC,demais municipios,A,36270
2,4208450,Itapoá (SC),SC,demais municipios,A,30625
2,4207007,Içara (SC),SC,demais municipios,A,29089
2,4208708,Jacinto Machado (SC),SC,demais municipios,C,7149
2,4208807,Jaguaruna (SC),SC,demais municipios,A,28749
2,4209409,Laguna (SC),SC,demais municipios,A,31247
2,4209607,Lauro Müller (SC),SC,demais municipios,C,7834
2,4210001,Luiz Alves (SC),SC,demais municipios,C,6734
2,4210209,Major Gercino (SC),SC,demais municipios,C,2529
2,4210407,Maracajá (SC),SC,demais municipios,C,3758
2,4210605,Massaranduba (SC),SC,demais municipios,C,9224
2,4210803,Meleiro (SC),SC,demais municipios,C,4375
2,4211256,Morro Grande (SC),SC,demais municipios,C,2023
2,4211207,Morro da Fumaça (SC),SC,demais municipios,C,9432
2,4211306,Navegantes (SC),SC,demais municipios,A,46534
2,4211504,Nova Trento (SC),SC,demais municipios,C,8076
2,4211603,Nova Veneza (SC),SC,demais municipios,C,7455
2,4211702,Orleans (SC),SC,demais municipios,B,13166
2,4212254,Passo de Torres (SC),SC,demais municipios,C,11634
2,4212304,Paulo Lopes (SC),SC,demais municipios,C,5917
2,4212403,Pedras Grandes (SC),SC,demais municipios,C,2785
2,4212502,Penha (SC),SC,demais municipios,A,23822
2,4212650,Pescaria Brava (SC),SC,demais municipios,C,5216
2,4213203,Pomerode (SC),SC,demais municipios,B,15469
2,4213500,Porto Belo (SC),SC,demais municipios,B,17428
2,4213807,Praia Grande (SC),SC,demais municipios,C,5550
2,4214300,Rancho Queimado (SC),SC,demais municipios,C,3352
2,4214904,Rio Fortuna (SC),SC,demais municipios,C,3033
2,4215455,Sangão (SC),SC,demais municipios,C,5764
2,4215604,Santa Rosa de Lima (SC),SC,demais municipios,C,1417
2,4215653,Santa Rosa do Sul (SC),SC,demais municipios,C,5810
2,4215703,Santo Amaro da Imperatriz (SC),SC,demais municipios,B,14803
2,4217402,Schroeder (SC),SC,demais municipios,C,9080
2,4217600,Siderópolis (SC),SC,demais municipios,C,7540
2,4217709,Sombrio (SC),SC,demais municipios,B,15941
2,4215901,São Bonifácio (SC),SC,demais municipios,C,2606
2,4216206,São Francisco do Sul (SC),SC,demais municipios,A,44014
2,4216305,São João Batista (SC),SC,demais municipios,B,16228
2,4216354,São João do Itaperiú (SC),SC,demais municipios,C,2545
2,4216404,São João do Sul (SC),SC,demais municipios,C,6413
2,4217006,São Ludgero (SC),SC,demais municipios,C,6577
2,4217105,São Martinho (SC),SC,demais municipios,C,2290
2,4217253,São Pedro de Alcântara (SC),SC,demais municipios,C,3119
2,4218004,Tijucas (SC),SC,demais municipios,A,25364
2,4218103,Timbé do Sul (SC),SC,demais municipios,C,3772
2,4218350,Treviso (SC),SC,demais municipios,C,2265
2,4218400,Treze de Maio (SC),SC,demais municipios,C,4734
2,4218806,Turvo (SC),SC,demais municipios,C,7481
2,4219002,Urussanga (SC),SC,demais municipios,C,11206
2,4200606,Águas Mornas (SC),SC,demais municipios,C,4966
3,4204301,Concórdia (SC),SC,capital de imediata,A,42025
3,4204806,Curitibanos (SC),SC,capital de imediata,A,20568
3,4210506,Maravilha (SC),SC,capital de imediata,B,14941
3,4214805,Rio do Sul (SC),SC,capital de imediata,A,36358
3,4216909,São Lourenço do Oeste (SC),SC,capital de imediata,B,13086
3,4219309,Videira (SC),SC,capital de imediata,A,28873
3,4219507,Xanxerê (SC),SC,capital de imediata,A,25735
3,4203006,Caçador (SC),SC,capital de intermediaria,A,35681
3,4200101,Abelardo Luz (SC),SC,demais municipios,C,9568
3,4200200,Agrolândia (SC),SC,demais municipios,C,5806
3,4200309,Agronômica (SC),SC,demais municipios,C,3553
3,4200754,Alto Bela Vista (SC),SC,demais municipios,C,1525
3,4200804,Anchieta (SC),SC,demais municipios,C,3938
3,4201273,Arabutã (SC),SC,demais municipios,C,3044
3,4201604,Arroio Trinta (SC),SC,demais municipios,C,2417
3,4201653,Arvoredo (SC),SC,demais municipios,C,1793
3,4201802,Atalanta (SC),SC,demais municipios,C,2050
3,4202099,Barra Bonita (SC),SC,demais municipios,C,1269
3,4202537,Bom Jesus (SC),SC,demais municipios,C,1503
3,4202578,Bom Jesus do Oeste (SC),SC,demais municipios,C,1327
