Cluster x categoria x classe ABC x UF - SC todos sem capital de UF e conurbados,,,,
Total de municípios no universo: 291 | Total de domicílios no universo: 3573776,,,,
,,,,
Cluster,Categoria,Classe ABC,UF,Quantidade de municípios
1,capital de intermediaria,A,SC,5
1,capital de imediata,A,SC,3
1,capital de imediata,B,SC,1
1,demais municipios,A,SC,3
2,capital de imediata,A,SC,2
2,demais municipios,A,SC,17
2,demais municipios,B,SC,14
2,demais municipios,C,SC,49
3,capital de intermediaria,A,SC,1
3,capital de imediata,A,SC,5
3,capital de imediata,B,SC,2
3,demais municipios,B,SC,5
3,demais municipios,C,SC,93
4,capital de imediata,A,SC,1
4,capital de imediata,B,SC,1
4,capital de imediata,C,SC,1
4,demais municipios,A,SC,2
4,demais municipios,B,SC,2
4,demais municipios,C,SC,19
5,capital de imediata,A,SC,1
5,demais municipios,A,SC,1
5,demais municipios,B,SC,1
5,demais municipios,C,SC,62
,,,,
"Tabela consolidada a partir da base municipal do modelo final, já filtrada pelos universos definidos no relatório.",,,,
