ranking_final,cod_mun,municipio,uf,classificacao_fuzzy,confianca_classificacao,score_final,dinamismo_economico,infraestrutura_urbana,conectividade_digital,oferta_servicos,seguranca_territorial,empresas_1k,regic_var60,via_pav_pct,indice_conectividade,estab_saude_10k,homicidios_100k
1,3541406,Presidente Prudente (SP),SP,muito_alto,1.0,0.8951260504201682,0.8184873949579833,1.0,0.957983193277311,0.9159663865546218,0.8319327731092437,80.80897601786695,0.070914780933155,99.66,80.85,54.327596291897834,6.646932662140844
2,3170701,Varginha (MG),MG,muito_alto,1.0,0.881890756302521,0.7680672268907563,0.9705882352941176,0.8319327731092437,0.9915966386554622,0.9411764705882353,61.055053602702486,0.075943572002457,99.34,76.93,80.6055676463907,5.129445213861226
3,4115200,Maringá (PR),PR,muito_alto,1.0,0.8763025210084036,0.9168067226890757,0.9495798319327731,1.0,0.7394957983193278,0.7394957983193278,114.35908577175539,0.110307953191707,99.3,83.49,39.4232247953776,10.252479513348973
4,3543402,Ribeirão Preto (SP),SP,muito_alto,1.0,0.8630672268907563,0.9777310924369749,0.8319327731092437,0.9495798319327731,0.6638655462184874,0.8151260504201681,89.8943951265455,0.258089749185205,97.36,80.14,35.32567466599489,7.443010869658567
5,4314100,Passo Fundo (RS),RS,muito_alto,1.0,0.8460084033613446,0.9516806722689076,0.8235294117647058,0.8151260504201681,0.9411764705882353,0.5714285714285714,82.03089009043958,0.202529117849939,97.03,76.7,59.50100623136047,15.032854060082924
6,3152501,Pouso Alegre (MG),MG,muito_alto,1.0,0.8390336134453781,0.6903361344537815,0.8487394957983193,0.8403361344537815,0.9831932773109243,0.9327731092436975,56.62311042787599,0.056966400508126,97.56,77.0,71.87107878883437,5.255654756039076
7,4204608,Criciúma (SC),SC,muito_alto,1.0,0.8321848739495801,0.7319327731092438,0.6974789915966386,0.9243697478991597,0.865546218487395,1.0,76.10038556036794,0.036430709991459,94.12,79.31,46.808054342099744,2.331078403491023
8,3503208,Araraquara (SP),SP,muito_alto,1.0,0.829747899159664,0.6957983193277312,0.9159663865546218,0.8823529411764706,0.7983193277310925,0.9831932773109243,64.90991957989993,0.036182543651357,98.88,77.81,42.026520468319106,4.128341892762191
9,3549805,São José do Rio Preto (SP),SP,muito_alto,1.0,0.828403361344538,0.9756302521008403,0.7478991596638656,0.9327731092436975,0.6050420168067226,0.773109243697479,91.25028882602369,0.199457547522463,95.44,79.86,32.11953546367245,8.74284179827766
10,3170206,Uberlândia (MG),MG,muito_alto,1.0,0.8226050420168068,0.8260504201680673,0.7899159663865546,0.7142857142857143,0.8487394957983193,0.957983193277311,67.56783282671363,0.100183890925687,96.63,73.39,46.493107354772135,4.907294202102005
