,empresas_1k,regic_var60,via_pav_pct,indice_conectividade,estab_saude_10k,homicidios_100k,dinamismo_economico,infraestrutura_urbana,conectividade_digital,oferta_servicos,seguranca_territorial,score_final
empresas_1k,1.0,0.3852,0.4539,0.6976,0.594,-0.47,0.8648,0.5364,0.7218,0.6638,0.5087,0.8501
regic_var60,0.3852,1.0,0.2525,0.4556,0.0462,-0.1699,0.6796,0.269,0.4857,0.0799,0.1864,0.4606
via_pav_pct,0.4539,0.2525,1.0,0.5234,0.3715,-0.323,0.4789,0.8808,0.507,0.4312,0.33,0.6385
indice_conectividade,0.6976,0.4556,0.5234,1.0,0.538,-0.2561,0.7842,0.5344,0.9254,0.6096,0.2986,0.821
estab_saude_10k,0.594,0.0462,0.3715,0.538,1.0,-0.4578,0.52,0.4375,0.5306,0.9533,0.4984,0.7404
homicidios_100k,-0.47,-0.1699,-0.323,-0.2561,-0.4578,1.0,-0.4158,-0.4,-0.3888,-0.4805,-0.952,-0.6273
dinamismo_economico,0.8648,0.6796,0.4789,0.7842,0.52,-0.4158,1.0,0.5476,0.7906,0.5779,0.465,0.884
infraestrutura_urbana,0.5364,0.269,0.8808,0.5344,0.4375,-0.4,0.5476,1.0,0.5497,0.4982,0.4179,0.7301
conectividade_digital,0.7218,0.4857,0.507,0.9254,0.5306,-0.3888,0.7906,0.5497,1.0,0.5928,0.4365,0.868
oferta_servicos,0.6638,0.0799,0.4312,0.6096,0.9533,-0.4805,0.5779,0.4982,0.5928,1.0,0.5005,0.8001
seguranca_territorial,0.5087,0.1864,0.33,0.2986,0.4984,-0.952,0.465,0.4179,0.4365,0.5005,1.0,0.674
score_final,0.8501,0.4606,0.6385,0.821,0.7404,-0.6273,0.884,0.7301,0.868,0.8001,0.674,1.0
