variavel_a,variavel_b,correlacao_pearson,correlacao_absoluta
estab_saude_10k,oferta_servicos,0.9533,0.9533
homicidios_100k,seguranca_territorial,-0.952,0.952
indice_conectividade,conectividade_digital,0.9254,0.9254
dinamismo_economico,score_final,0.884,0.884
via_pav_pct,infraestrutura_urbana,0.8808,0.8808
conectividade_digital,score_final,0.868,0.868
empresas_1k,dinamismo_economico,0.8648,0.8648
empresas_1k,score_final,0.8501,0.8501
indice_conectividade,score_final,0.821,0.821
oferta_servicos,score_final,0.8001,0.8001
dinamismo_economico,conectividade_digital,0.7906,0.7906
indice_conectividade,dinamismo_economico,0.7842,0.7842
estab_saude_10k,score_final,0.7404,0.7404
infraestrutura_urbana,score_final,0.7301,0.7301
empresas_1k,conectividade_digital,0.7218,0.7218
empresas_1k,indice_conectividade,0.6976,0.6976
regic_var60,dinamismo_economico,0.6796,0.6796
seguranca_territorial,score_final,0.674,0.674
empresas_1k,oferta_servicos,0.6638,0.6638
via_pav_pct,score_final,0.6385,0.6385
homicidios_100k,score_final,-0.6273,0.6273
indice_conectividade,oferta_servicos,0.6096,0.6096
empresas_1k,estab_saude_10k,0.594,0.594
conectividade_digital,oferta_servicos,0.5928,0.5928
dinamismo_economico,oferta_servicos,0.5779,0.5779
infraestrutura_urbana,conectividade_digital,0.5497,0.5497
dinamismo_economico,infraestrutura_urbana,0.5476,0.5476
indice_conectividade,estab_saude_10k,0.538,0.538
empresas_1k,infraestrutura_urbana,0.5364,0.5364
indice_conectividade,infraestrutura_urbana,0.5344,0.5344
estab_saude_10k,conectividade_digital,0.5306,0.5306
via_pav_pct,indice_conectividade,0.5234,0.5234
estab_saude_10k,dinamismo_economico,0.52,0.52
empresas_1k,seguranca_territorial,0.5087,0.5087
via_pav_pct,conectividade_digital,0.507,0.507
oferta_servicos,seguranca_territorial,0.5005,0.5005
estab_saude_10k,seguranca_territorial,0.4984,0.4984
infraestrutura_urbana,oferta_servicos,0.4982,0.4982
regic_var60,conectividade_digital,0.4857,0.4857
homicidios_100k,oferta_servicos,-0.4805,0.4805
via_pav_pct,dinamismo_economico,0.4789,0.4789
empresas_1k,homicidios_100k,-0.47,0.47
dinamismo_economico,seguranca_territorial,0.465,0.465
regic_var60,score_final,0.4606,0.4606
estab_saude_10k,homicidios_100k,-0.4578,0.4578
regic_var60,indice_conectividade,0.4556,0.4556
empresas_1k,via_pav_pct,0.4539,0.4539
estab_saude_10k,infraestrutura_urbana,0.4375,0.4375
conectividade_digital,seguranca_territorial,0.4365,0.4365
via_pav_pct,oferta_servicos,0.4312,0.4312
infraestrutura_urbana,seguranca_territorial,0.4179,0.4179
homicidios_100k,dinamismo_economico,-0.4158,0.4158
homicidios_100k,infraestrutura_urbana,-0.4,0.4
homicidios_100k,conectividade_digital,-0.3888,0.3888
empresas_1k,regic_var60,0.3852,0.3852
via_pav_pct,estab_saude_10k,0.3715,0.3715
via_pav_pct,seguranca_territorial,0.33,0.33
via_pav_pct,homicidios_100k,-0.323,0.323
indice_conectividade,seguranca_territorial,0.2986,0.2986
regic_var60,infraestrutura_urbana,0.269,0.269
indice_conectividade,homicidios_100k,-0.2561,0.2561
regic_var60,via_pav_pct,0.2525,0.2525
regic_var60,seguranca_territorial,0.1864,0.1864
regic_var60,homicidios_100k,-0.1699,0.1699
regic_var60,oferta_servicos,0.0799,0.0799
regic_var60,estab_saude_10k,0.0462,0.0462
