pc1,pc2,classificacao_fuzzy,confianca_classificacao,municipio,uf
-2.849667368438726,-0.6382054102161266,muito_alto,1.0,Presidente Prudente (SP),SP
-2.9521004306333904,-1.4784289626789597,muito_alto,1.0,Varginha (MG),MG
-3.468448066326641,0.3908415992168623,muito_alto,1.0,Maringá (PR),PR
-3.2509347592988096,2.02292626270309,muito_alto,1.0,Ribeirão Preto (SP),SP
-3.1428695538575844,0.8314245612454723,muito_alto,1.0,Passo Fundo (RS),RS
-2.4788159668957523,-1.43084287026513,muito_alto,1.0,Pouso Alegre (MG),MG
-2.278632089491816,-0.9683452251587041,muito_alto,1.0,Criciúma (SC),SC
-1.8949228751632876,-0.7883017584961134,muito_alto,1.0,Araraquara (SP),SP
-2.8587696054900267,1.487121094190446,muito_alto,1.0,São José do Rio Preto (SP),SP
-2.100686854516971,-0.27347191363902845,muito_alto,1.0,Uberlândia (MG),MG
-2.4206991306803762,0.865986950357082,muito_alto,1.0,Londrina (PR),PR
-1.9022512065173574,-0.8708476955841711,muito_alto,1.0,Marília (SP),SP
-3.1878025894790105,3.886831113125301,muito_alto,1.0,Campinas (SP),SP
-1.6885347543396196,0.3289711224201022,muito_alto,1.0,Bauru (SP),SP
-1.845155357620909,1.0589705740661313,muito_alto,1.0,Sorocaba (SP),SP
-2.4284778983369373,0.13572428486400132,muito_alto,1.0,Blumenau (SC),SC
-2.1894625086708026,-0.8467048888606036,muito_alto,1.0,Ijuí (RS),RS
-1.8604752255340922,1.1674407776876001,muito_alto,1.0,Juiz de Fora (MG),MG
-1.776135055901828,-0.3755434918084373,muito_alto,1.0,Divinópolis (MG),MG
-2.6503610583367383,-1.504799682827751,muito_alto,1.0,Lajeado (RS),RS
-1.6450809924033214,-0.8928926781888902,muito_alto,1.0,Patos de Minas (MG),MG
-2.341617256153414,2.020943590531081,muito_alto,1.0,Cascavel (PR),PR
-2.208562594982943,-1.4940210116791477,muito_alto,1.0,Santa Cruz do Sul (RS),RS
-2.137191741119195,-0.28244006945690253,muito_alto,1.0,Chapecó (SC),SC
-1.7418541394492517,-0.5319007342668058,muito_alto,0.971639950678174,Araçatuba (SP),SP
-1.4845591990992355,0.692333042031677,muito_alto,0.9551993423756676,São José dos Campos (SP),SP
-1.5137675273155957,-1.6198257554848052,muito_alto,0.796615974791067,Barbacena (MG),MG
-1.0921642237641154,-0.09509316373107109,muito_alto,0.7949034114262226,Uberaba (MG),MG
-1.7094073868163002,-0.08461404218889887,muito_alto,0.7822304425263727,Caxias do Sul (RS),RS
-1.1625196753966798,-0.5118339652923641,muito_alto,0.7157829839704071,Petrópolis (RJ),RJ
-1.1008753700546343,-0.7274840089512322,muito_alto,0.6657761337169481,Ipatinga (MG),MG
-0.9834392841226779,0.2875352625615616,muito_alto,0.5597684614330725,Volta Redonda (RJ),RJ
-1.187615096009879,-1.143039010652097,alto,0.5335662419509525,Itumbiara (GO),GO
-1.028357107037685,-0.6049677022228651,alto,0.5715851486505009,Colatina (ES),ES
-1.6611032867103814,-2.2391239040768878,alto,0.6003562131798876,Lages (SC),SC
-0.9761780640911505,0.20737252992080557,alto,0.6308398410741198,Governador Valadares (MG),MG
-1.1693993665030629,0.4422259070792385,alto,0.6616659816413207,Joinville (SC),SC
